shabby               a.褴褛的；破旧的
personnel            n.人事部门
mystery              n.神秘小说，侦探小说
axial                a.轴的；轴向的
profitable           a.有利的；有益的
ham                  n.火腿；(兽类的)后踝
pedlar               n.(挨户兜售的)小贩
motorway             n.汽车道，快车路
onward(s)            a.向前(的)，在前面
pedal                n.踏脚，踏板，脚蹬
litter               n.废物，杂乱
flatter              vt.奉承，阿谀，谄媚
questionnaire        n.调查表，征求意见表
significant          a.有效的
correctly            ad.正确地，恰当地
tickle               vt.挠，胳肢；逗乐
manifest             vt.表明
snore                vi.打鼾，打呼噜
visit                vt.常去
reckless             a.粗心大意的；鲁莽的
surplus              n.过剩，剩余(物资)
cutter               n.用于切割的器械
instability          n.不稳定性；不坚决
symptom              n.症状，征候，征兆
respectable          a.可敬的；人格高尚的
audience             n.正式会见；拜会
conviction           n.确信，信服，深信
perish               vi.死亡，夭折；枯萎
fighter              n.斗争者；战斗机
infinitely           ad.无限地，无边地
over                 prep.在(做)…时
workshop             n.专题讨论会
exploration          n.考察；勘探；探查
workpiece            n.工(作)件
proton               n.质子，氕核
concert              n.一齐，一致，协作
range                vt.排列；把…分类
harmonious           a.和谐的，协调的
