admiration           n.钦佩；赞美，羡慕
prose                n.散文
raise                vt.提出，发起，发出
stray                vi.迷路
whisker              n.髯，连鬓胡子
amplitude            n.广大；充足；振幅
notable              n.值得注意的；著名的
romance              n.传奇；浪漫文学
pore                 n.毛孔，气孔，细孔
fell                 vt.砍倒(树等)；砍伐
edit                 vt.编辑，编纂；校订
historian            n.历史学家；编史家
experimentally       ad.实验上，实验性地
correlation          n.相互关系；对射
recipe               n.菜谱，烹饪法；处方
plateau              n.高原；平稳时期
promptly             ad.敏捷地，迅速地
producer             n.生产者；舞台监督
comply               vi.应允，遵照，照做
banquet              n.宴会，盛会，酒席
appendix             n.附录，附属物；阑尾
bypass               n.旁通管
reverse              n.背面，反面
diversion            n.转移；改道；娱乐
conception           n.概念，观念，想法
illiterate           a.文盲的
inaccurate           a.不精密的，不准确的
incidentally         ad.附带地；顺便提及
disgrace             n.失宠，耻辱，丢脸
settlement           n.调停；(新)住宅区
reside               vi.居住，驻扎；属于
unfold               vt.展开
dessert              n.甜点心
fragile              a.脆的；体质弱的
satisfactorily       ad.圆满地
notwithstanding      prep.尽管，虽然
visit                vt.常去
custom               n.海关，关税
between              ad.当中，中间
windy                a.多风的，刮风的
preservation         n.保存，储藏；保持
observation          n.意见，短评，按语
foster               vt.养育，抚养；培养
supervise            vt.&vi.监督，监视
poll                 n.投票
salmon               n.鲑，大马哈鱼
